"koddz","prywatna","zam_miasto","zam_wies","zam_liczba","wiek_m","wiek_o","edu_o","edu_m","prestiz_m","prestiz_o","dochod_g","bieda","wynik"
0360009C,0,0,0,1,42,43,0,1,35.92,33.42,62500.5,0,48.855
0362001C,0,1,0,1,34,33,1,1,38.18,33.42,37500.5,0,51.874
0362002C,0,1,0,1,33,38,1,0,34.95,39.18,62500.5,0,50.689
0362003C,0,1,0,1,37,44,1,0,34.95,34.95,62500.5,0,60.584
0362004C,0,1,0,1,48,47,1,0,63.43,53.5,45000.5,0,55.126
0362008C,0,1,0,1,35,39,1,1,33.42,35.63,27500.5,0,53.142
0362010C,0,0,0,1,48,53,0,0,34.95,39.18,45000.5,0,39.309
0362013C,0,1,0,1,44,48,0,1,38.18,39.18,37500.5,0,54.142
0362014C,0,1,0,1,34,40,1,1,38.18,39.18,32500.5,0,32.012
0362020C,0,1,0,1,38,39,0,0,53.5,39.2,87500.5,0,58.998
0362022C,0,1,0,1,32,35,1,1,38.18,39.2,62500.5,0,48.081
0363001C,0,1,0,1,30,33,0,1,38.18,29.6,32500.5,0,51.019
0363002C,0,1,0,1,47,49,0,0,63.43,53.5,62500.5,0,47.8
0363003C,0,1,0,1,39,42,1,1,38.18,39.2,45000.5,0,58.118
0363009C,0,0,0,1,36,33,1,1,34.95,33.42,7500.5,1,37.627
0363014C,0,1,0,1,33,33,0,1,38.18,33.42,37500.5,0,63.127
0363016C,0,1,0,1,35,37,1,1,33.42,33.42,32500.5,1,59.618
0363018C,0,1,0,1,42,43,1,0,38.18,38.18,87500.5,0,66.02
0363020C,0,0,0,1,29,28,1,1,38.18,33.42,27500.5,0,42.348
0363021C,0,0,0,1,28,30,1,1,38.18,39.2,87500.5,0,54.991
0363022C,0,1,0,1,34,38,1,1,35.78,35.63,37500.5,0,41.606
0364002C,0,0,0,1,36,46,1,1,34.95,37.67,45000.5,0,66.519
0364003C,0,1,0,2,37,45,1,1,35.78,33.42,62500.5,0,37.767
0364010C,0,1,0,1,40,46,1,1,33.42,39.2,62500.5,0,52.698
0364011C,0,1,0,1,37,36,1,1,38.18,33.42,62500.5,0,53.895
0364012C,0,1,0,1,37,39,1,1,38.18,35.78,62500.5,0,58.982
0364013C,0,1,0,1,40,43,1,0,38.18,35.92,45000.5,0,52.594
0364015C,0,0,0,1,32,35,0,0,53.5,34.95,62500.5,0,55.919
0364024C,0,1,0,1,41,43,0,1,38.18,35.78,87500.5,0,51.776
0365005C,0,0,0,1,30,34,1,1,29.6,29.6,37500.5,0,37.062
0365007C,0,0,0,1,31,36,1,1,33.42,52.54,37500.5,1,44.159
0365013C,0,0,0,1,25,26,1,1,34.95,39.2,45000.5,0,40.114
0365015C,0,1,0,1,41,40,1,1,34.95,35.63,22500.5,0,57.235
0365016C,0,1,0,1,26,25,0,0,61.56,33.42,27500.5,0,48.263
0365017C,0,1,0,1,33,36,0,0,34.95,33.42,22500.5,0,50.307
0365019C,0,1,0,1,50,38,1,0,57.83,39.18,62500.5,0,57.651
0366009C,0,1,0,2,36,39,0,1,34.95,39.2,150000.5,0,54.041
0366011C,0,1,0,1,39,41,1,1,38.18,35.78,87500.5,0,56.466
0366012C,0,1,0,1,42,43,0,0,53.5,63.43,87500.5,0,66.677
0366013C,0,1,0,1,35,39,1,1,34.95,38.18,37500.5,0,48.123
0366014C,0,1,0,1,43,43,0,0,38.18,53.5,62500.5,0,67.428
0366015C,0,1,0,1,46,47,0,0,53.5,38.18,87500.5,0,59.822
0366018C,0,1,0,2,42,42,1,0,53.5,29.6,87500.5,0,58.297
0366020C,0,1,0,1,42,42,0,0,38.18,63.43,62500.5,0,57.248
0366024C,0,1,0,1,38,39,0,0,61.56,39.18,87500.5,0,56.286
0368001C,1,1,0,1,36,37,1,1,34.95,33.42,32500.5,0,51.918
0368002C,1,1,0,1,44,43,1,1,35.78,39.18,87500.5,0,48.82
0368003C,1,1,0,1,42,43,0,0,63.43,48.69,87500.5,0,60.352
0368005C,1,1,0,1,41,41,0,0,57.83,61.56,87500.5,0,53.076
0368006C,1,1,0,1,42,43,0,0,63.43,53.5,150000.5,0,59.879
0368007C,1,1,0,1,40,49,1,1,35.78,38.18,62500.5,0,57.112
0368008C,1,1,0,1,34,38,0,0,61.56,35.78,87500.5,0,62.23
0368012C,1,1,0,1,39,40,0,0,53.5,53.5,87500.5,0,64.94
0368013C,1,1,0,1,44,47,1,0,61.56,39.18,87500.5,0,57.152
0368015C,1,1,0,1,48,49,0,0,63.43,34.95,62500.5,0,45.899
0368016C,1,1,0,1,33,40,1,1,63.43,39.2,37500.5,0,42.864
0368017C,1,1,0,1,42,41,0,0,53.5,59,150000.5,0,64.31
0368019C,1,1,0,1,37,40,1,1,38.18,39.2,37500.5,0,54.584
0368020C,1,1,0,1,33,32,1,1,38.18,33.42,62500.5,0,53.167
0368021C,1,1,0,1,43,43,1,0,48.69,33.42,87500.5,0,48.943
0369007C,0,1,0,1,38,42,1,1,35.78,39.18,45000.5,0,56.445
0369012C,0,1,0,1,41,40,0,0,53.5,53.5,150000.5,0,57.098
0369016C,0,1,0,1,36,37,1,1,38.18,35.92,62500.5,0,37.271
0369019C,0,0,0,1,38,39,0,0,52.54,53.5,62500.5,0,56.351
0369024C,0,1,0,1,40,42,1,1,34.95,35.92,17500.5,1,45.313
0370001C,0,1,0,1,40,44,1,1,35.92,34.95,22500.5,1,39.92
0370002C,0,1,0,1,32,29,1,1,35.78,39.2,22500.5,0,37.198
0370003C,0,1,0,1,37,39,0,0,35.63,35.63,32500.5,0,47.589
0370005C,0,1,0,1,42,45,0,0,38.18,33.42,45000.5,0,43.129
0370012C,0,1,0,1,37,39,1,0,63.43,35.78,150000.5,0,64.072
0370013C,0,1,0,1,40,42,1,1,34.95,39.2,37500.5,0,48.476
0370018C,0,1,0,1,36,38,1,1,33.42,39.2,87500.5,0,41.652
0373001C,0,1,0,1,47,54,1,1,59,39.2,45000.5,0,32.573
0373003C,0,1,0,2,35,25,1,0,38.18,48.69,62500.5,0,58.675
0373005C,0,1,0,1,35,43,1,1,34.95,35.92,45000.5,0,52.443
0373007C,0,1,0,1,43,44,0,0,63.43,63.43,37500.5,0,66.279
0373009C,0,0,0,2,31,40,0,0,53.5,53.5,87500.5,0,49.852
0373010C,0,1,0,1,46,38,0,0,59,61.56,87500.5,0,63.751
0373012C,0,1,0,1,38,50,1,0,52.54,35.92,45000.5,0,58.821
0373016C,0,1,0,1,35,35,0,0,38.18,34.95,62500.5,0,58.681
0373019C,0,1,0,1,36,40,1,1,33.42,33.42,87500.5,0,53.063
0373021C,0,1,0,1,43,39,0,0,38.18,35.78,37500.5,0,58.89
0373022C,0,1,0,1,47,40,1,1,57.83,35.78,62500.5,0,52.133
0373024C,0,1,0,1,39,32,0,0,61.56,39.2,45000.5,0,54.613
0374007C,0,1,0,1,37,38,1,1,33.42,35.92,17500.5,1,37.502
0376006C,0,1,0,1,35,36,1,1,53.5,39.18,62500.5,0,47.453
0376010C,0,1,0,1,32,34,1,1,35.78,35.78,150000.5,0,57.632
0376014C,0,1,0,1,30,31,1,0,53.5,39.2,62500.5,0,46.037
0377004C,0,1,0,1,47,48,0,0,53.5,35.92,62500.5,0,65.328
0377005C,0,1,0,1,38,45,0,1,38.18,35.63,62500.5,0,67.166
0377007C,0,1,0,1,39,42,1,0,61.56,29.6,62500.5,0,67.393
0377009C,0,1,0,1,44,41,0,0,59,39.2,45000.5,0,62.445
0377010C,0,1,0,1,33,38,1,1,52.54,35.78,150000.5,0,60.753
0377011C,0,1,0,1,32,35,1,0,61.56,33.42,62500.5,0,44.687
0377016C,0,1,0,1,35,32,1,1,33.42,39.2,87500.5,0,56.501
0377018C,0,1,0,1,32,52,1,0,35.63,35.63,22500.5,1,34.803
0377026C,0,1,0,1,33,38,1,1,52.54,35.78,150000.5,0,49.024
0380006C,0,1,0,3,30,41,1,1,34.95,39.2,27500.5,0,54.148
0380011C,0,0,0,1,30,37,0,1,33.42,33.42,62500.5,0,53.328
0380012C,0,1,0,1,35,39,1,0,33.42,53.5,32500.5,0,45.048
0380014C,0,1,0,1,38,40,1,0,35.92,34.95,62500.5,0,52.335
0380015C,0,1,0,1,36,48,1,1,34.95,29.6,62500.5,0,57.446
0380017C,0,1,0,1,40,46,0,0,53.5,64.89,150000.5,0,63.673
0380018C,0,1,0,2,31,35,1,1,33.42,39.2,62500.5,0,57.571
0380019C,0,1,0,1,46,44,1,0,35.63,35.92,62500.5,0,55.445
0380022C,0,1,0,1,32,33,1,1,38.18,33.42,32500.5,0,33.731
0380024C,0,1,0,1,33,38,1,1,33.42,33.42,32500.5,0,47.781
0383004C,0,1,0,1,37,38,0,0,38.18,39.2,37500.5,0,60.719
0383005C,0,1,0,1,43,40,1,0,34.95,29.6,37500.5,0,59.599
0383007C,0,1,0,1,39,47,0,0,63.43,39.2,45000.5,0,52.913
0383009C,0,1,0,1,38,40,0,0,38.18,64.89,62500.5,0,63.406
0383010C,0,1,0,1,44,47,0,0,53.5,34.95,150000.5,0,60.684
0383011C,0,1,0,2,39,39,0,0,38.18,39.2,37500.5,0,51.427
0383012C,0,1,0,1,43,48,0,0,38.18,34.95,37500.5,0,58.091
0383019C,0,1,0,1,44,35,1,0,38.18,34.95,62500.5,0,43.709
0383022C,0,0,0,1,40,41,0,0,57.83,38.18,37500.5,0,55.072
0383025C,0,1,0,1,38,40,0,0,38.18,64.89,62500.5,0,56.063
0385020C,0,0,0,1,33,33,1,1,38.18,33.42,87500.5,0,32.925
0386018C,0,0,0,1,29,36,1,1,33.42,35.92,22500.5,0,51.832
0386020C,0,0,0,1,33,33,1,1,35.78,33.42,17500.5,1,54.853
0387019C,0,0,0,1,28,43,0,1,38.18,37.67,45000.5,0,38.767
0387023C,0,0,0,1,36,46,1,1,34.95,39.2,22500.5,1,47.908
0387024C,0,0,0,2,38,38,1,1,29.6,38.18,32500.5,0,45.93
0388008C,0,0,1,2,39,38,0,1,35.78,39.18,62500.5,0,56.434
0390007C,0,1,0,1,44,44,0,0,53.5,53.5,87500.5,0,71.19
0390010C,0,0,0,1,41,41,0,0,35.78,35.78,62500.5,0,53.872
0391007C,1,0,1,1,49,57,0,0,48.69,52.54,45000.5,0,62.939
0391010C,1,0,1,1,50,46,0,0,63.43,53.5,150000.5,0,52.788
0391016C,1,0,1,1,39,39,0,0,77.5,63.43,200001,0,61.84
0393002C,0,1,0,1,41,38,0,1,38.18,48.69,62500.5,0,71.334
0393016C,0,1,0,1,38,38,0,0,38.18,39.2,87500.5,0,45.204
0393021C,0,0,0,1,27,30,1,1,38.18,33.42,87500.5,0,66.116
0395001C,0,0,0,1,45,54,0,0,33.42,34.95,45000.5,0,64.393
0395004C,0,0,0,1,47,41,1,0,38.18,35.78,150000.5,0,56.224
0395006C,0,1,0,1,46,49,0,0,35.78,35.78,150000.5,0,44.201
0395007C,0,1,0,1,40,42,0,0,35.78,39.2,150000.5,0,72.026
0395008C,0,1,0,1,47,49,0,1,38.18,35.78,87500.5,0,44.969
0395009C,0,1,0,1,44,45,0,0,34.95,38.18,62500.5,0,53.662
0395013C,0,1,0,1,40,38,0,0,38.18,34.95,45000.5,0,55.178
0395017C,0,1,0,1,48,46,0,0,63.43,39.18,62500.5,0,63.477
0395018C,0,1,0,1,41,40,0,0,63.43,35.78,150000.5,0,69.51
0395022C,0,1,0,1,49,46,0,0,61.56,35.78,150000.5,0,55.642
0396002C,0,0,0,1,46,43,0,0,61.56,35.78,87500.5,0,53.282
0396013C,0,0,0,1,46,62,1,1,33.42,34.95,45000.5,0,58.128
0396021C,0,0,0,1,31,41,1,0,34.95,34.95,22500.5,1,62.649
0399012C,0,0,1,2,39,39,0,0,35.78,35.92,150000.5,0,49.022
0400001C,0,0,0,1,39,50,0,0,57.83,48.69,87500.5,0,40.978
0400002C,0,0,0,1,47,50,0,1,34.95,57.83,62500.5,0,54.302
0400003C,0,0,0,1,36,44,0,0,77.5,77.5,200001,0,40.673
0400004C,0,0,0,1,36,38,0,0,61.56,35.92,32500.5,0,55.512
0400005C,0,0,0,1,35,45,1,0,34.95,33.42,17500.5,1,54.79
0400008C,0,0,0,2,43,46,0,0,34.95,33.42,22500.5,1,70.261
0400010C,0,1,0,1,45,42,0,0,34.95,35.78,37500.5,0,68.995
0400011C,0,1,0,1,41,43,1,0,53.5,53.5,87500.5,0,57.167
0400018C,0,0,0,1,38,43,0,1,63.43,53.5,37500.5,0,69.732
0400020C,0,0,0,1,36,37,1,1,34.95,35.92,32500.5,0,35.475
0400022C,0,1,0,1,52,45,0,0,38.18,38.18,62500.5,0,60.961
0400024C,0,0,0,1,35,46,0,0,38.18,38.18,45000.5,0,47.919
0403017C,0,1,0,1,35,36,1,1,34.95,35.78,150000.5,0,48.617
0403020C,1,1,0,2,35,35,0,0,59,53.5,45000.5,0,54.475
0404001C,1,1,0,1,42,47,0,1,53.5,35.78,87500.5,0,48.14
0404003C,1,1,0,1,42,45,1,1,34.95,53.5,62500.5,0,57.534
0404004C,1,1,0,2,38,40,0,0,38.18,64.89,62500.5,0,68.87
0404005C,1,1,0,1,39,39,0,0,38.18,39.18,87500.5,0,52.166
0404010C,1,1,0,1,41,45,1,0,38.18,39.18,62500.5,0,55.475
0404011C,1,1,0,1,36,38,0,0,77.5,53.5,62500.5,0,61.439
0404012C,0,1,0,1,37,37,1,1,35.78,53.5,87500.5,0,48
0404013C,1,0,0,1,41,40,0,0,62.87,53.5,150000.5,0,58.762
0404014C,1,1,0,1,34,36,0,0,35.78,53.5,87500.5,0,43.613
0404017C,1,1,0,1,40,40,1,0,38.18,39.18,87500.5,0,38.191
0405004C,0,0,0,1,34,40,1,0,33.42,34.95,45000.5,0,55.103
0405007C,0,1,0,1,36,38,0,1,38.18,48.69,200001,0,52.865
0405011C,0,1,0,1,33,34,0,0,63.43,35.78,87500.5,0,61.422
0405017C,0,1,0,1,42,44,0,0,38.18,35.92,87500.5,0,57.177
0405020C,0,1,0,1,39,39,1,1,34.95,39.2,150000.5,0,59.812
0405024C,0,1,0,1,40,51,0,0,38.18,35.78,150000.5,0,57.064
0407001C,1,0,0,1,39,36,0,0,63.43,53.5,150000.5,0,44.389
0407003C,1,1,0,1,46,47,1,1,53.5,39.18,87500.5,0,43.212
0407004C,1,1,0,1,39,40,0,0,61.56,77.5,150000.5,0,57.513
0407006C,1,1,0,1,41,42,0,0,61.56,35.78,37500.5,0,41.952
0407007C,1,1,0,1,37,37,0,0,34.95,35.78,62500.5,0,41.585
0407009C,1,1,0,1,43,44,0,0,61.56,53.5,87500.5,0,38.299
0407012C,1,1,0,1,38,39,0,0,61.56,39.2,62500.5,0,41.933
0407013C,1,1,0,1,44,46,0,0,38.18,39.2,62500.5,0,62.034
0407015C,1,1,0,1,39,39,0,0,35.78,53.5,150000.5,0,56.238
0407016C,1,1,0,1,43,46,0,0,38.18,38.18,87500.5,0,55.026
0407017C,1,1,0,1,42,44,0,0,61.56,53.5,150000.5,0,60.888
0407018C,1,1,0,1,31,43,0,0,34.95,34.95,87500.5,0,42.338
0407019C,1,1,0,1,38,38,0,1,38.18,39.2,62500.5,0,47.919
0407021C,1,1,0,1,37,38,0,1,35.78,53.5,87500.5,0,51.261
0407023C,1,1,0,1,46,47,0,0,72.1,64.89,87500.5,0,48.451
0411002C,0,0,1,1,41,41,0,0,34.95,34.95,87500.5,0,42.09
0411004C,0,1,0,1,35,43,0,0,38.18,48.69,62500.5,0,43.859
0411007C,0,1,0,1,37,36,1,0,53.5,35.92,87500.5,0,51.008
0411008C,0,1,0,1,36,34,0,0,61.56,61.56,62500.5,0,62.901
0411017C,0,1,0,1,37,38,1,1,38.18,39.18,62500.5,0,57.012
0411022C,0,1,0,1,34,35,1,1,34.95,39.18,45000.5,0,52.46
0414002C,0,1,0,1,37,41,0,0,57.83,57.83,62500.5,0,58.671
0414006C,0,1,0,1,35,36,1,1,34.95,33.42,62500.5,0,61.358
0414007C,0,1,0,1,39,38,1,1,38.18,35.78,37500.5,0,48.553
0414008C,0,1,0,1,36,49,1,1,29.6,33.42,62500.5,0,56.908
0414013C,0,1,0,1,41,43,1,1,35.78,35.92,37500.5,0,57.279
0414020C,0,1,0,1,40,50,0,1,35.78,53.5,87500.5,0,48.332
0418002C,0,1,0,1,43,40,0,0,53.5,39.18,150000.5,0,65.937
0418007C,0,1,0,1,44,53,0,0,53.5,35.78,62500.5,0,31.707
0418009C,0,1,0,1,40,46,0,0,38.18,38.18,37500.5,0,55.606
0418014C,0,1,0,1,40,45,0,0,35.78,53.5,87500.5,0,64.113
0418018C,0,1,0,1,33,35,0,0,34.95,62.87,150000.5,0,73.455
0418020C,0,1,0,1,39,39,0,0,52.54,64.89,150000.5,0,58.009
0418024C,0,1,0,1,40,47,1,0,38.18,53.5,62500.5,0,58.337
0418027C,0,1,0,1,40,47,1,0,38.18,53.5,62500.5,0,72.087
0425002C,1,0,0,1,36,41,1,0,33.42,33.42,45000.5,0,61.568
0425009C,1,1,0,1,41,40,0,0,38.18,33.42,62500.5,0,75.932
0425010C,1,1,0,1,40,41,0,0,38.18,33.42,62500.5,0,45.173
0425011C,1,1,0,1,32,30,1,1,48.69,38.18,62500.5,0,51.413
0425015C,1,1,0,1,46,47,0,0,63.43,34.95,87500.5,0,49.373
0425016C,1,1,0,1,34,38,0,0,38.18,39.2,45000.5,0,51.859
0425024C,1,1,0,1,43,46,0,0,38.18,77.5,150000.5,0,56.689
0427006C,0,1,0,1,31,29,1,1,33.42,33.42,87500.5,0,46.811
0427007C,0,1,0,1,41,43,0,0,61.56,53.5,87500.5,0,49.003
0427009C,0,1,0,1,43,46,1,0,38.18,39.2,87500.5,0,53.067
0427010C,0,0,0,1,33,33,1,1,33.42,57.83,62500.5,0,43.755
0427013C,0,0,1,1,37,47,1,0,38.18,39.18,62500.5,0,60.68
0429002C,1,1,0,1,41,42,1,0,48.69,35.78,45000.5,0,66.118
0429004C,1,1,0,1,39,39,0,0,61.56,35.63,62500.5,0,55.606
0429005C,1,1,0,1,46,45,0,0,63.43,59,200001,0,71.997
0429006C,1,1,0,2,38,40,0,0,35.78,35.78,150000.5,0,54.394
0429008C,1,1,0,1,40,43,0,0,61.56,53.5,87500.5,0,54.726
0429009C,0,1,0,3,36,38,0,0,63.43,64.89,87500.5,0,64.862
0429010C,1,1,0,1,37,32,0,0,38.18,63.43,62500.5,0,57.521
0429018C,1,1,0,1,41,39,0,0,34.95,53.5,150000.5,0,66.01
0429019C,1,1,0,1,45,47,1,0,38.18,35.92,150000.5,0,52.867
0429022C,1,1,0,1,40,39,0,0,63.43,61.56,62500.5,0,58.577
0429024C,1,1,0,1,36,40,0,0,38.18,35.78,150000.5,0,56.82
0430002C,0,1,0,1,37,38,0,0,38.18,48.69,87500.5,0,60.788
0430010C,0,1,0,1,32,35,0,0,53.5,53.5,62500.5,0,46.298
0430011C,0,1,0,1,39,38,0,0,39.18,53.5,87500.5,0,54.06
0430014C,0,1,0,1,44,45,0,0,38.18,34.95,62500.5,0,47.8
0430016C,0,1,0,1,34,33,0,0,38.18,34.95,62500.5,0,58.18
0430017C,0,1,0,1,43,45,0,0,72.1,37.67,62500.5,0,61.787
0430018C,0,1,0,1,45,41,0,1,38.18,34.95,62500.5,0,50.476
0430021C,0,1,0,2,32,33,0,0,38.18,62.87,87500.5,0,62.874
0430022C,0,1,0,1,34,37,0,0,61.56,33.42,87500.5,0,42.759
0431002C,0,1,0,1,43,60,0,0,63.43,63.43,62500.5,0,50.977
0431005C,0,1,0,1,41,42,1,1,38.18,53.5,62500.5,0,59.697
0431007C,0,1,0,1,30,32,1,1,38.18,53.5,37500.5,0,37.738
0431010C,0,1,0,1,29,35,0,1,34.95,35.78,32500.5,0,48.77
0431012C,0,1,0,1,45,43,1,1,38.18,53.5,87500.5,0,46.64
0431013C,0,1,0,1,34,36,0,0,63.43,34.95,62500.5,0,54.083
0431014C,0,1,0,1,47,47,0,0,33.42,53.5,150000.5,0,56.981
0431016C,0,1,0,1,33,37,1,1,35.78,39.2,37500.5,0,64.491
0431017C,0,1,0,1,41,42,0,0,35.63,35.63,7500.5,1,61.155
0431018C,0,1,0,1,43,42,1,0,38.18,39.18,62500.5,0,63.262
0431025C,0,1,0,1,43,60,0,0,63.43,63.43,62500.5,0,56.405
0432001C,0,1,0,1,44,44,1,1,38.18,35.63,45000.5,0,51.745
0432002C,0,1,0,1,34,38,0,0,34.95,38.18,27500.5,0,68.359
0432003C,0,1,0,1,35,33,1,0,38.18,34.95,45000.5,0,64.314
0432004C,0,0,0,1,31,31,1,1,53.5,35.78,27500.5,0,59.203
0432005C,0,0,0,1,40,44,0,0,35.92,53.5,62500.5,0,56.011
0432011C,0,1,0,1,38,34,0,1,38.18,33.42,87500.5,0,54.119
0432013C,0,1,0,1,37,40,0,0,63.43,53.5,87500.5,0,61.491
0432014C,0,1,0,1,42,42,1,1,34.95,35.78,37500.5,0,49.189
0432015C,0,1,0,1,37,46,0,0,63.43,34.95,45000.5,0,59.134
0432016C,0,1,0,1,34,39,1,0,48.69,39.18,45000.5,0,64.074
0432018C,0,1,0,1,35,36,1,1,34.95,39.2,45000.5,0,59.065
0432019C,0,1,0,1,36,37,0,0,38.18,64.89,62500.5,0,72.233
0432021C,0,1,0,1,38,40,0,0,57.83,61.56,62500.5,0,41.145
0432022C,0,1,0,1,40,40,0,0,35.78,39.18,87500.5,0,52.85
0433006C,0,1,0,1,27,31,1,1,53.5,38.18,45000.5,0,51.592
0433007C,0,1,0,1,38,40,1,1,38.18,39.18,87500.5,0,44.597
0433008C,0,1,0,1,41,41,0,0,35.78,48.69,150000.5,0,55.057
0433009C,0,1,0,2,27,27,0,0,61.56,48.69,62500.5,0,57.035
0433012C,0,1,0,1,30,34,0,0,35.78,39.18,62500.5,0,67.983
0433017C,0,1,0,1,41,44,1,1,53.5,35.63,32500.5,0,39.186
0434001C,0,1,0,2,35,37,0,0,61.56,33.42,150000.5,0,62.808
0434004C,0,1,0,1,41,50,0,0,38.18,34.95,62500.5,0,52.804
0434006C,0,1,0,2,45,39,0,0,29.6,39.18,45000.5,0,56.445
0434007C,0,1,0,1,43,52,1,0,38.18,33.42,62500.5,0,38.775
0434008C,0,1,0,1,34,38,0,0,34.95,63.43,45000.5,0,61.577
0434010C,0,1,0,1,37,27,1,1,35.78,33.42,37500.5,0,52.325
0434020C,0,1,0,1,27,30,1,0,38.18,33.42,32500.5,0,49.233
0434021C,0,1,0,1,29,32,1,0,35.78,39.18,62500.5,0,63.085
0435001C,1,0,0,1,36,40,0,0,34.95,48.69,37500.5,0,56.288
0435004C,1,1,0,1,42,54,1,1,38.18,29.6,62500.5,0,50.197
0435005C,1,1,0,1,35,39,0,0,38.18,29.6,62500.5,0,49.546
0435010C,1,1,0,1,38,44,0,0,34.95,53.5,87500.5,0,65.059
0435011C,1,1,0,1,35,41,0,0,38.18,34.95,62500.5,0,41.502
0435015C,1,1,0,1,36,38,0,0,57.83,34.95,87500.5,0,60.267
0435016C,1,1,0,1,37,37,0,0,61.56,53.5,150000.5,0,56.879
0435019C,1,1,0,1,34,37,0,0,38.18,53.5,87500.5,0,48.953
0435020C,1,1,0,1,46,41,0,0,61.56,39.18,62500.5,0,36.572
0435021C,1,1,0,1,42,41,1,1,57.83,39.18,87500.5,0,37.701
0435022C,1,1,0,2,33,35,0,0,61.56,33.42,37500.5,0,46.999
0435023C,1,1,0,1,43,45,0,0,38.18,64.89,87500.5,0,46.738
0435024C,1,1,0,1,40,45,0,0,53.5,53.5,62500.5,0,52.37
0436001C,0,1,0,1,39,39,0,0,63.43,53.5,87500.5,0,61.725
0436002C,0,1,0,1,39,43,1,1,61.56,39.18,45000.5,0,50.067
0436003C,0,1,0,1,34,44,0,1,35.78,39.18,62500.5,0,46.475
0436004C,0,1,0,1,36,45,0,0,53.5,35.78,62500.5,0,52.314
0436005C,0,1,0,2,41,40,0,0,53.5,35.78,62500.5,0,49.763
0436007C,0,1,0,2,39,39,0,1,38.18,39.18,27500.5,0,49.323
0436008C,0,1,0,1,43,57,0,1,38.18,53.5,62500.5,0,60.302
0436011C,0,1,0,1,40,46,1,0,63.43,39.18,150000.5,0,66.899
0436013C,0,1,0,1,32,37,0,0,63.43,34.95,62500.5,0,50.359
0436015C,0,1,0,1,42,40,0,0,53.5,53.5,150000.5,0,54.064
0437014C,0,0,1,1,37,38,1,1,34.95,38.18,62500.5,0,60.686
0439001C,0,0,0,1,40,40,0,0,64.89,64.89,150000.5,0,76.595
0439002C,0,1,0,1,39,40,0,0,34.95,35.78,45000.5,0,52.844
0439006C,0,1,0,1,34,36,0,0,63.43,39.2,150000.5,0,60.776
0439008C,0,1,0,1,42,43,0,0,35.78,53.5,87500.5,0,70.22
0439011C,0,1,0,1,44,47,1,0,38.18,52.54,150000.5,0,47.574
0439012C,0,1,0,1,39,38,1,1,48.69,39.18,62500.5,0,57.828
0439013C,0,1,0,1,38,38,0,0,34.95,64.89,62500.5,0,63.302
0439017C,0,1,0,1,36,40,0,0,53.5,59,150000.5,0,66.519
0439019C,0,1,0,1,40,40,1,0,38.18,35.78,150000.5,0,47.478
0439023C,0,1,0,1,43,43,0,0,53.5,35.78,62500.5,0,59.401
0440006C,0,0,0,1,37,38,0,1,38.18,38.18,87500.5,0,48.676
0440008C,0,1,0,1,40,44,0,0,53.5,48.69,87500.5,0,59.612
0440014C,0,0,0,1,37,37,0,0,53.5,53.5,150000.5,0,56.03
0440017C,0,1,0,1,40,41,0,0,38.18,35.78,62500.5,0,53.887
0440020C,1,1,0,1,42,40,0,0,63.43,62.87,87500.5,0,60.35
0440023C,0,1,0,1,38,37,1,1,38.18,63.43,62500.5,0,52.335
0441001C,0,1,0,1,28,33,1,1,53.5,38.18,62500.5,0,58.489
0441003C,0,1,0,2,34,35,0,0,38.18,53.5,62500.5,0,48.786
0441006C,0,1,0,1,42,44,0,1,48.69,35.78,87500.5,0,46.283
0441012C,0,0,0,1,35,36,1,1,33.42,29.6,62500.5,0,50.501
0441013C,0,1,0,2,37,38,0,0,35.78,38.18,150000.5,0,59.72
0441014C,0,0,0,1,41,51,0,0,63.43,64.89,45000.5,0,49.425
0441015C,0,1,0,1,37,40,0,0,57.83,52.54,62500.5,0,65.378
0441018C,0,1,0,1,42,55,1,0,61.56,39.2,87500.5,0,45.59
0441019C,0,1,0,1,33,45,1,0,37.67,37.67,87500.5,0,49.648
0441020C,0,1,0,1,32,32,0,0,77.5,63.43,62500.5,0,59.153
0441021C,0,1,0,1,36,37,1,1,38.18,39.18,62500.5,0,52.742
0441022C,0,1,0,1,38,39,1,0,38.18,39.2,87500.5,0,55.208
0443001C,0,1,0,1,46,48,0,0,38.18,53.5,62500.5,0,55.047
0443003C,0,1,0,1,40,42,0,0,61.56,72.1,62500.5,0,52.854
0443005C,0,1,0,1,46,47,0,0,61.56,35.78,87500.5,0,62.718
0443009C,0,1,0,1,38,40,0,0,38.18,59,62500.5,0,73.097
0443010C,1,1,0,1,44,46,0,0,38.18,33.42,62500.5,0,56.52
0443012C,0,1,0,1,44,45,0,0,52.54,72.1,87500.5,0,59.505
0443019C,0,1,0,1,43,44,0,1,63.43,33.42,87500.5,0,57.903
0443020C,0,1,0,1,43,44,0,0,34.95,33.42,87500.5,0,64.954
0443023C,0,1,0,1,39,46,0,0,53.5,48.69,87500.5,0,60.281
0444004C,0,0,0,2,26,32,0,1,33.42,33.42,45000.5,0,47.768
0444016C,0,0,0,1,31,27,1,1,33.42,33.42,27500.5,1,42.905
0444023C,0,1,0,1,47,42,0,0,38.18,34.95,62500.5,0,58.062
0445005C,0,1,0,1,37,32,1,1,33.42,39.2,12500.5,1,37.65
0445006C,0,1,0,1,37,36,1,0,35.78,35.78,62500.5,0,43.907
